wv,snr
0.35,0.0
0.35005,0.0
0.3501,0.0
0.35015,0.0
0.3502,0.0
0.35025,0.0
0.3503,0.0
0.35035,0.0
0.3504,0.0
0.35045,0.0
0.3505,0.0
0.35055,0.0
0.3506,0.0
0.35065,0.0
0.3507,0.0
0.35075,0.0
0.3508,0.0
0.35085,0.0
0.3509,0.0
0.35095,0.0
0.351,0.0
0.35105,0.0
0.3511,0.0
0.35115,0.0
0.3512,0.0
0.35125,0.0
0.3513,0.0
0.35135,0.0
0.3514,0.0
0.35145,0.0
0.3515,0.0
0.35155,0.0
0.3516,0.0
0.35165,0.0
0.3517,0.0
0.35175,0.0
0.3518,0.0
0.35185,0.0
0.3519,0.0
0.35195,0.0
0.352,0.0
0.35205,0.0
0.3521,0.0
0.35215,0.0
0.3522,0.0
0.35225,0.0
0.3523,0.0
0.35235,0.0
0.3524,0.0
0.35245,0.0
0.3525,0.0
0.35255,0.0
0.3526,0.0
0.35265,0.0
0.3527,0.0
0.35275,0.0
0.3528,0.0
0.35285,0.0
0.3529,0.0
0.35295,0.0
0.353,0.0
0.35305,0.0
0.3531,0.0
0.35315,0.0
0.3532,0.0
0.35325,0.0
0.3533,0.0
0.35335,0.0
0.3534,0.0
0.35345,0.0
0.3535,0.0
0.35355,0.0
0.3536,0.0
0.35365,0.0
0.3537,0.0
0.35375,0.0
0.3538,0.0
0.35385,0.0
0.3539,0.0
0.35395,0.0
0.354,0.0
0.35405,0.0
0.3541,0.0
0.35415,0.0
0.3542,0.0
0.35425,0.0
0.3543,0.0
0.35435,0.0
0.3544,0.0
0.35445,0.0
0.3545,0.0
0.35455,0.0
0.3546,0.0
0.35465,0.0
0.3547,0.0
0.35475,0.0
0.3548,0.0
0.35485,0.0
0.3549,0.0
0.35495,0.0
0.355,0.0
0.35505,0.0
0.3551,0.0
0.35515,0.0
0.3552,0.0
0.35525,0.0
0.3553,0.0
0.35535,0.0
0.3554,0.0
0.35545,0.0
0.3555,0.0
0.35555,0.0
0.3556,0.0
0.35565,0.0
0.3557,0.0
0.35575,0.0
0.3558,0.0
0.35585,0.0
0.3559,0.0
0.35595,0.0
0.356,0.0
0.35605,0.0
0.3561,0.0
0.35615,0.0
0.3562,0.0
0.35625,0.0
0.3563,0.0
0.35635,0.0
0.3564,0.0
0.35645,0.0
0.3565,0.0
0.35655,0.0
0.3566,0.0
0.35665,0.0
0.3567,0.0
0.35675,0.0
0.3568,0.0
0.35685,0.0
0.3569,0.0
0.35695,0.0
0.357,0.0
0.35705,0.0
0.3571,0.0
0.35715,0.0
0.3572,0.0
0.35725,0.0
0.3573,0.0
0.35735,0.0
0.3574,0.0
0.35745,0.0
0.3575,0.0
0.35755,0.0
0.3576,0.0
0.35765,0.0
0.3577,0.0
0.35775,0.0
0.3578,0.0
0.35785,0.0
0.3579,0.0
0.35795,0.0
0.358,0.0
0.35805,0.0
0.3581,0.0
0.35815,0.0
0.3582,0.0
0.35825,0.0
0.3583,0.0
0.35835,0.0
0.3584,0.0
0.35845,0.0
0.3585,0.0
0.35855,0.0
0.3586,0.0
0.35865,0.0
0.3587,0.0
0.35875,0.0
0.3588,0.0
0.35885,0.0
0.3589,0.0
0.35895,0.0
0.359,0.0
0.35905,0.0
0.3591,0.0
0.35915,0.0
0.3592,0.0
0.35925,0.0
0.3593,0.0
0.35935,0.0
0.3594,0.0
0.35945,0.0
0.3595,0.0
0.35955,0.0
0.3596,0.0
0.35965,0.0
0.3597,0.0
0.35975,0.0
0.3598,0.0
0.35985,0.0
0.3599,0.0
0.35995,0.0
0.36,0.0
0.36005,0.0
0.3601,0.0
0.36015,0.0
0.3602,0.0
0.36025,0.0
0.3603,0.0
0.36035,0.0
0.3604,0.0
0.36045,0.0
0.3605,0.0
0.36055,0.0
0.3606,0.0
0.36065,0.0
0.3607,0.0
0.36075,0.0
0.3608,0.0
0.36085,0.0
0.3609,0.0
0.36095,0.0
0.361,0.0
0.36105,0.0
0.3611,0.0
0.36115,0.0
0.3612,0.0
0.36125,0.0
0.3613,0.0
0.36135,0.0
0.3614,0.0
0.36145,0.0
0.3615,0.0
0.36155,0.0
0.3616,0.0
0.36165,0.0
0.3617,0.0
0.36175,0.0
0.3618,0.0
0.36185,0.0
0.3619,0.0
0.36195,0.0
0.362,0.0
0.36205,0.0
0.3621,0.0
0.36215,0.0
0.3622,0.0
0.36225,0.0
0.3623,0.0
0.36235,0.0
0.3624,0.0
0.36245,0.0
0.3625,0.0
0.36255,0.0
0.3626,0.0
0.36265,0.0
0.3627,0.0
0.36275,0.0
0.3628,0.0
0.36285,0.0
0.3629,0.0
0.36295,0.0
0.363,0.0
0.36305,0.0
0.3631,0.0
0.36315,0.0
0.3632,0.0
0.36325,0.0
0.3633,0.0
0.36335,0.0
0.3634,0.0
