LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_90,Lab_P90_corr,Lab_P0 ,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,R-Arm
0.6191,0.5684,0.293065313079998,0.6744,0.34771859102947,0.6214,0.320391952054734,0.5439,0.280433187516205,0.6447,0.332405361264382,0.5943,0.306419274390294,,0.515596961787471
0.6191,0.5698,0.293787148826501,0.6755,0.348285747687436,0.6226,0.321010668408879,0.5445,0.280742545693278,0.6452,0.332663159745276,0.5949,0.306728632567366,,0.515596961787471
0.6192,0.5712,0.294508984573003,0.6766,0.348852904345403,0.6239,0.321680944459203,0.5451,0.28105190387035,0.6457,0.33292095822617,0.5954,0.30698643104826,,0.515596961787471
0.6193,0.5726,0.295230820319506,0.6777,0.349420061003369,0.6251,0.322299660813348,0.5464,0.281722179920674,0.6467,0.333436555187957,0.5966,0.307605147402405,,0.515596961787471
0.6194,0.574,0.295952656066008,0.6788,0.349987217661335,0.6264,0.322969936863672,0.5477,0.282392455970998,0.6477,0.333952152149745,0.5977,0.308172304060371,,0.515596961787471
0.6195,0.5754,0.296674491812511,0.6798,0.350502814623122,0.6276,0.323588653217817,0.549,0.283062732021321,0.6487,0.334467749111532,0.5988,0.308739460718337,,0.515596961787471
0.6196,0.5768,0.297396327559013,0.6809,0.351069971281089,0.6288,0.324207369571961,0.5502,0.283681448375466,0.6496,0.334931786377141,0.5999,0.309306617376304,,0.515596961787471
0.6197,0.5781,0.298066603609337,0.682,0.351637127939055,0.6301,0.324877645622285,0.5515,0.28435172442579,0.6506,0.335447383338928,0.601,0.30987377403427,,0.515596961787471
0.6198,0.5795,0.298788439355839,0.6831,0.352204284597021,0.6313,0.32549636197643,0.5528,0.285022000476114,0.6515,0.335911420604537,0.6022,0.310492490388415,,0.515596961787471
0.6199,0.5809,0.299510275102342,0.6842,0.352771441254987,0.6325,0.326115078330575,0.554,0.285640716830259,0.6525,0.336427017566325,0.6033,0.311059647046381,,0.515596961787471
0.62,0.5823,0.300232110848844,0.6852,0.353287038216775,0.6338,0.326785354380899,0.5553,0.286310992880582,0.6534,0.336891054831933,0.6043,0.311575244008168,,0.515596961787471
