LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,U-Arm
0.3701,0.5674,0.3079,0.0086,0.0047,0.288,0.1563,0.5137,0.2788,0.0063,0.0034,0.260,0.1411,,0.542733643986811
0.3702,0.5748,0.3120,0.0070,0.0038,0.2909,0.1579,0.5171,0.2806,0.0057,0.0031,0.2614,0.1419,,0.542733643986811
0.3702,0.5822,0.3160,0.0055,0.0030,0.2939,0.1595,0.5204,0.2824,0.0051,0.0028,0.2627,0.1426,,0.542733643986811
0.3703,0.5895,0.3199,0.0042,0.0023,0.2969,0.1611,0.527,0.2860,0.0039,0.0021,0.2655,0.1441,,0.542733643986811
0.3704,0.5967,0.3238,0.0031,0.0017,0.2999,0.1628,0.5337,0.2897,0.0029,0.0016,0.2683,0.1456,,0.542733643986811
0.3705,0.6039,0.3278,0.0022,0.0012,0.303,0.1644,0.5402,0.2932,0.0021,0.0011,0.2712,0.1472,,0.542733643986811
0.3706,0.611,0.3316,0.0014,0.0008,0.3062,0.1662,0.5467,0.2967,0.0014,0.0008,0.2741,0.1488,,0.542733643986811
0.3707,0.6181,0.3355,0.0008,0.0004,0.3094,0.1679,0.5532,0.3002,0.0009,0.0005,0.277,0.1503,,0.542733643986811
0.3708,0.6251,0.3393,0.0004,0.0002,0.3127,0.1697,0.5596,0.3037,0.0005,0.0003,0.280,0.1520,,0.542733643986811
0.3709,0.632,0.3430,0.0001,0.0001,0.3161,0.1716,0.5659,0.3071,0.0002,0.0001,0.2831,0.1536,,0.542733643986811
0.371,0.6389,0.3468,0.0000,0.0000,0.3195,0.1734,0.5722,0.3106,0.0001,0.0001,0.2862,0.1553,,0.542733643986811
0.3711,0.6457,0.3504,0.0001,0.0001,0.3229,0.1752,0.5784,0.3139,0.0002,0.0001,0.2893,0.1570,,0.542733643986811
0.3712,0.6525,0.3541,0.0003,0.0002,0.3264,0.1771,0.5846,0.3173,0.0004,0.0002,0.2925,0.1587,,0.542733643986811
0.3713,0.6592,0.3578,0.0007,0.0004,0.3299,0.1790,0.5907,0.3206,0.0008,0.0004,0.2957,0.1605,,0.542733643986811
0.3714,0.6658,0.3614,0.0013,0.0007,0.3335,0.1810,0.5967,0.3238,0.0013,0.0007,0.299,0.1623,,0.542733643986811
0.3715,0.6723,0.3649,0.0020,0.0011,0.3372,0.1830,0.6026,0.3271,0.0019,0.0010,0.3023,0.1641,,0.542733643986811
0.3716,0.6788,0.3684,0.0029,0.0016,0.3409,0.1850,0.6086,0.3303,0.0027,0.0015,0.3056,0.1659,,0.542733643986811
0.3717,0.6853,0.3719,0.0039,0.0021,0.3446,0.1870,0.6144,0.3335,0.0037,0.0020,0.309,0.1677,,0.542733643986811
0.3718,0.6916,0.3754,0.0052,0.0028,0.3484,0.1891,0.6202,0.3366,0.0048,0.0026,0.3125,0.1696,,0.542733643986811
0.3719,0.6979,0.3788,0.0066,0.0036,0.3522,0.1912,0.6259,0.3397,0.006,0.0033,0.316,0.1715,,0.542733643986811
0.372,0.7041,0.3821,0.0081,0.0044,0.3561,0.1933,0.6316,0.3428,0.0074,0.0040,0.3195,0.1734,,0.542733643986811
0.3721,0.7103,0.3855,0.0098,0.0053,0.3601,0.1954,0.6372,0.3458,0.009,0.0049,0.3231,0.1754,,0.542733643986811
0.3722,0.7164,0.3888,0.0117,0.0063,0.364,0.1976,0.6427,0.3488,0.0107,0.0058,0.3267,0.1773,,0.542733643986811
0.3723,0.7224,0.3921,0.0138,0.0075,0.3681,0.1998,0.6482,0.3518,0.0125,0.0068,0.3304,0.1793,,0.542733643986811
0.3724,0.7284,0.3953,0.0159,0.0086,0.3722,0.2020,0.6537,0.3548,0.0145,0.0079,0.3341,0.1813,,0.542733643986811
0.3725,0.7343,0.3985,0.0183,0.0099,0.3763,0.2042,0.659,0.3577,0.0166,0.0090,0.3378,0.1833,,0.542733643986811
0.3726,0.7401,0.4017,0.0208,0.0113,0.3804,0.2065,0.6643,0.3605,0.0188,0.0102,0.3416,0.1854,,0.542733643986811
0.3727,0.7458,0.4048,0.0235,0.0128,0.3847,0.2088,0.6696,0.3634,0.0212,0.0115,0.3454,0.1875,,0.542733643986811
0.3728,0.7515,0.4079,0.0263,0.0143,0.3889,0.2111,0.6747,0.3662,0.0238,0.0129,0.3493,0.1896,,0.542733643986811
0.3729,0.757,0.4108,0.0293,0.0159,0.3932,0.2134,0.6798,0.3690,0.0265,0.0144,0.3531,0.1916,,0.542733643986811
0.373,0.7625,0.4138,0.0324,0.0176,0.3975,0.2157,0.6848,0.3717,0.0293,0.0159,0.3571,0.1938,,0.542733643986811
0.3731,0.7679,0.4168,0.0357,0.0194,0.4018,0.2181,0.6898,0.3744,0.0322,0.0175,0.361,0.1959,,0.542733643986811
0.3732,0.7733,0.4197,0.0392,0.0213,0.4062,0.2205,0.6946,0.3770,0.0353,0.0192,0.365,0.1981,,0.542733643986811
0.3733,0.7785,0.4225,0.0428,0.0232,0.4106,0.2228,0.6994,0.3796,0.0385,0.0209,0.369,0.2003,,0.542733643986811
0.3734,0.7837,0.4253,0.0465,0.0252,0.4151,0.2253,0.7041,0.3821,0.0419,0.0227,0.373,0.2024,,0.542733643986811
0.3735,0.7887,0.4281,0.0504,0.0274,0.4196,0.2277,0.7088,0.3847,0.0454,0.0246,0.3771,0.2047,,0.542733643986811
0.3736,0.7937,0.4308,0.0544,0.0295,0.4241,0.2302,0.7133,0.3871,0.049,0.0266,0.3812,0.2069,,0.542733643986811
0.3737,0.7986,0.4334,0.0585,0.0317,0.4286,0.2326,0.7178,0.3896,0.0527,0.0286,0.3853,0.2091,,0.542733643986811
0.3738,0.8035,0.4361,0.0628,0.0341,0.4331,0.2351,0.7222,0.3920,0.0566,0.0307,0.3894,0.2113,,0.542733643986811
0.3739,0.8082,0.4386,0.0672,0.0365,0.4377,0.2376,0.7265,0.3943,0.0606,0.0329,0.3935,0.2136,,0.542733643986811
0.374,0.8128,0.4411,0.0718,0.0390,0.4423,0.2401,0.7308,0.3966,0.0647,0.0351,0.3977,0.2158,,0.542733643986811
0.3741,0.8174,0.4436,0.0765,0.0415,0.4469,0.2425,0.7349,0.3989,0.0689,0.0374,0.4019,0.2181,,0.542733643986811
0.3742,0.8219,0.4461,0.0813,0.0441,0.4516,0.2451,0.739,0.4011,0.0732,0.0397,0.4061,0.2204,,0.542733643986811
0.3743,0.8263,0.4485,0.0862,0.0468,0.4563,0.2476,0.743,0.4033,0.0776,0.0421,0.4103,0.2227,,0.542733643986811
0.3744,0.8306,0.4508,0.0913,0.0496,0.4609,0.2501,0.747,0.4054,0.0822,0.0446,0.4146,0.2250,,0.542733643986811
0.3745,0.8348,0.4531,0.0965,0.0524,0.4656,0.2527,0.7508,0.4075,0.0869,0.0472,0.4189,0.2274,,0.542733643986811
0.3746,0.839,0.4554,0.1018,0.0553,0.4704,0.2553,0.7546,0.4095,0.0917,0.0498,0.4231,0.2296,,0.542733643986811
0.3747,0.843,0.4575,0.1072,0.0582,0.4751,0.2579,0.7583,0.4116,0.0965,0.0524,0.4274,0.2320,,0.542733643986811
0.3748,0.847,0.4597,0.1127,0.0612,0.4799,0.2605,0.762,0.4136,0.1015,0.0551,0.4318,0.2344,,0.542733643986811
0.3749,0.8509,0.4618,0.1184,0.0643,0.4846,0.2630,0.7655,0.4155,0.1066,0.0579,0.4361,0.2367,,0.542733643986811
